Debuff,Pushed Off By,Number
Deep Wound,Mind Flay,453
Deep Wound,Corruption,314
Deep Wound,Drain Soul,302
Deep Wound,Winter's Chill,153
Deep Wound,Consecration,55
Deep Wound,Shadowburn,292
Deep Wound,Vampiric Embrace,20
Deep Wound,Curse of Agony,37
Deep Wound,Taunt,213
Deep Wound,Shadow Vulnerability (ISB),503
Deep Wound,Rain of Fire,52
Deep Wound,Siphon Life,24
Deep Wound,Deep Wound,6
Deep Wound,Serpent Sting,178
Deep Wound,Shadow Word: Pain,44
Deep Wound,Thunder Clap,32
Deep Wound,Demoralizing Shout,71
Deep Wound,Sunder Armor,30
Deep Wound,Curse of Doom,4
Deep Wound,Blizzard,89
Deep Wound,Curse of Recklessness,28
Deep Wound,Stormstrike,121
Deep Wound,Flame Shock,8
Deep Wound,Rend,72
Deep Wound,Flamestrike,33
Deep Wound,Chilled,2
Deep Wound,Growl,22
Deep Wound,Volley,80
Deep Wound,Gift of Arthas,36
Deep Wound,Immolate,69
Deep Wound,Rake,24
Deep Wound,Faerie Fire (Feral),17
Deep Wound,Rip,19
Deep Wound,Screech,3
Deep Wound,Mortal Strike,92
Deep Wound,Fireball,33
Deep Wound,Drain Life,14
Deep Wound,Armor Shatter,17
Deep Wound,Curse of Shadow,20
Deep Wound,Fang of the Crystal Spider,1
Deep Wound,Hemorrhage,115
Deep Wound,Judgement of the Crusader,5
Deep Wound,Hunter's Mark,8
Deep Wound,Moonfire,35
Deep Wound,Judgement of Light,6
Deep Wound,Judgement of Wisdom,11
Deep Wound,Detect Magic,2
Deep Wound,Demoralizing Roar,3
Deep Wound,Shadow Vulnerability,2
Deep Wound,Rupture,21
Deep Wound,Hurricane,6
Deep Wound,Shadow Bolt,10
Deep Wound,Curse of the Elements,19
Deep Wound,Deadly Poison IV,26
Deep Wound,Challenging Roar,2
Deep Wound,Garrote,8
Deep Wound,Faerie Fire,12
Deep Wound,Stun,1
Deep Wound,Fire Vulnerability,1
Deep Wound,Ignite,7
Deep Wound,Devouring Plague,2
Deep Wound,Challenging Shout,5
Deep Wound,Puncture Armor,4
Deep Wound,Curse of Tongues,2
Deep Wound,Mocking Blow,4
Deep Wound,Curse of Weakness,5
Deep Wound,Holy Fire,5
Deep Wound,Numbing Pain,3
Deep Wound,Explosive Trap Effect,1
Deep Wound,Frost Nova,1
Deep Wound,Insect Swarm,3
Deep Wound,Weakening Disease,10
Deep Wound,Skullforge Brand,4
Corruption,Shadow Vulnerability (ISB),145
Corruption,Winter's Chill,73
